index,description
0,14989,Was ist ein Charakteristikum von Erfahrungsdichtung? Antwort in einem Satz.
1,14990,Was planen Sie für den letzten Teil des Interpretationsaufsatzes? Identifizieren Sie die wichtigsten Schritte.
2,14991,Wie würden Sie das Gedicht interpretieren? Schreiben Sie maximal 3 Sätze.
3,15031,Ich arbeite gerne mit dem Laptop. Den Laptop habe ich letzte Woche bekommen.
4,15032,"Was war zuerst? Schreiben Sie einen Satz, nachdem Sie eine neue Wohnung im Plusquamperfect gefunden haben."
5,15033,Schreiben Sie den Satz in der passiven Gegenwart. Den Termin - intensiv vorbereiten - vom Kollegen.
6,15034,Passive Präsentation hinzufügen.Verpackung: Koffer
7,15286,Wann fand die Schlacht von Waterloo statt?
8,15727,Fülle die passive Gegenwart. Fliegen: Das Flugzeug
9,15728,Fügen Sie die passive Gegenwart hinzu. Weiterempfehlen: Das Restaurant
10,15729,Schreibe den Satz im Passiv-Präsens. In den meisten Haushalten trennt man Abfall.
11,15730,Schreibe den Satz in der Passivpräsenz: In Bayern trinkt man viel Bier.
12,15731,Schreibe im passiven Präsens: der Kaffee - servieren
13,15732,Wurde es hier gemacht? Schreiben Sie in die passive Gegenwart: Ordner - abholen
14,15733,Arrangieren Sie den Satz und schreiben Sie in der passiven Gegenwart. In Koffern und Taschen - Kleidung - ist - gepackt
15,15734,Ordnen Sie den Satz an und schreiben Sie ihn in der passiven Gegenwart. Ist - geschlossen - der Kühlschrank
16,15735,Wer macht was? Schreiben Sie den Satz dann in der passiven Gegenwart. Oft prüfen: der Arzt - das Kind
17,15736,Wer macht was? Schreiben Sie den Satz dann in die passive Gegenwart. Empfehlen Sie: der Arzt - die Medizin
18,16153,"Gottfried Benn (1886-1956) Reisen (1950) Glauben Sie zum Beispiel, dass Zürich eine tiefere Stadt ist, in der Wunder und Weihen der Inhalt sind? Glauben Sie, dass Habana, weiß und hibiskusrot, ein ewiges Manna für Ihr Wüstenelend bringen würde? Bahnhöfe und Ruinen, Boulevards, Strandbäder, Laan - sogar an der Fünften Avenida - die Leere schlägt Ihnen ins Auge -Oh, vergebliches Autofahren! Erst spät finden Sie heraus: Bleiben Sie und schweigen Sie das Selbst, das Sie umgebt.Verwenden Sie die folgende Formulierung, um mit der Einführung Ihrer Interpretation zu beginnen.In dem Gedicht... um... ab dem Jahr... fragt das lyrische Selbst..."
19,16186,"Beschreiben Sie Ihren Hund. Nennen Sie die Rasse, die Farbe, die Größe, das Alter und was Ihnen sonst noch einfällt."
20,16188,Schreibe den Satz in der Vergangenheitsform. Gestern - erzähle - ich - eine Geschichte.
21,16217,Formulieren Sie einen Satz im Konjunktiv II unter Verwendung der vorgegebenen Elemente. Sie - können mir heute Abend helfen.
22,16218,"Formulieren Sie einen Satz im Konjunktiv II unter Verwendung der vorgegebenen Elemente. Brianna - glücklich, mehr Geld zu haben"
23,16330,Schreiben Sie den Satz Passive Present.the package - should - bring
24,16332,Schreibe den Satz mit dem passenden reflektierenden Pronomen. Ich - entspanne mich - im Wellness-Center
25,16436,Schreibe den Satz in den Konjunktiv 2. Ich - tanze gerne mit dir.
26,16852,"Erklären Sie, warum sich die Meeresschildkröte auf der Wasseroberfläche spiegelt."
27,16853,Spielt die Blendenform bei der Lochkamera eine Rolle? Grund für Ihre Entscheidung.
28,16854,Pinholes und Sammellinsen erzeugen Bilder von leuchtenden Objekten. Benennen Sie Ähnlichkeiten und Unterschiede der Bilder. Erklären Sie sie mit der unterschiedlichen Bildbildung.
29,16855,"Verwenden Sie das Teilchenmodell, um zu erklären, was der absolute Nullpunkt ist."
30,16856,Nennen Sie die Hauptkomponenten des Wärmekraftwerks.
31,16857,"Jana sagt: ""Aufgrund der Effizienz macht es keinen Sinn, mit Strom aus Gaskraftwerken zu heizen""."
32,16858,"Lesen Sie das Material. Gründe, warum es für Menschen schwierig ist, eine klare Kaufempfehlung abzugeben."
33,16859,Füllen Sie die folgenden Sätze aus: Auf einer losen Rolle ist die Zugkraft halb so groß wie auf einer...
34,16860,"Erklären Sie den Begriff ""Getriebe""."
35,16861,"Benennen Sie Werkzeuge und Geräte, wo es Hebel gibt."
36,16862,Nennen Sie die Bestandteile eines Hebels.
37,16863,"Astschere, Schubkarre, Nussknacker und Schraubenschlüssel sind Beispiele für Hebel. Handelt es sich um einen einseitigen oder zweiseitigen Hebel? Gründe für Ihre Entscheidung."
38,16864,"Beurteilen Sie, ob Denken Arbeit im physischen Sinne ist."
39,16865,Ein Fußgänger braucht 1 h 40 min für einen 10 km langen Weg. Ein Auto legt eine Strecke von 180 km in zwei Stunden zurück. Ein ICE braucht 45 min für einen 75 km langen Weg. Berechnen und vergleichen Sie die Geschwindigkeiten.
40,16866,"Vervollständigen Sie den folgenden Satz über die einheitliche Bewegung: ""In doppelter Zeit ist der... Weg zurückgelegt""."
41,16867,"Der ICE zeigt die Geschwindigkeit an, die der Zug im Moment hat. Benennen Sie den Fachbegriff für diese Geschwindigkeit."
42,16868,Erklären Sie den Unterschied zwischen der momentanen Geschwindigkeit und der Durchschnittsgeschwindigkeit.
43,16869,"Erklären Sie, woran man eine beschleunigte Bewegung erkennt."
44,16870,"Beschreiben Sie, was unter elektrischem Strom zu verstehen ist."
45,16871,Geben Sie das Formelzeichen und die Einheit des Stroms an.
46,16872,"Geben Sie die folgenden Stromstärken in mA an: 3 A; 0, 15 A; 0, 08 A. in A: 1500 mA; 270 mA; 50 mA."
47,16873,"Erklären Sie den Begriff ""elektrischer Widerstand""."
48,16874,"""Von 0 auf 100 km / h in 9,8 Sekunden"". Berechnen Sie die auf den PKW wirkende Kraft aus diesen Angaben in einem Prospekt (m PKW = 1500 kg)."
49,16875,"Der Mond Callisto umkreist den Planeten in 16 Tagen und 17 Stunden auf einer Kreisbahn mit dem Radius r = 1, 88 · 10 6 m. Berechnen Sie die Zentripetalbeschleunigung."
50,16876,Für die Zentripetalbeschleunigung a gelten zwei Gleichungen: a Z = v 2 r und a Z = ω 2 · r. Aus der ersten Beziehung folgt eine Antiproportionalität zum Bahnradius und aus der zweiten eine Proportionalität. Verdeutlichen Sie diesen offensichtlichen Widerspruch.
51,16877,Erklären Sie die Vorteile und Gefahren der Sonne.
52,16878,Beschreiben Sie die Struktur der Sonne. Vergleichen Sie die Informationen im Text und in den Bildern.
53,16879,"Wenn man aus dem Fenster eines Zuges auf einen anderen Zug auf dem benachbarten Gleis blickt, ist manchmal nicht klar, ob sich der eigene Zug oder der auf dem anderen Gleis tatsächlich relativ zur Erde bewegt. Erklären Sie diese Alltagserfahrung physisch."
54,16880,"Beschreiben Sie die Form einer möglichen Flugbahn für ein Elektron, das mit konstanter Geschwindigkeit in das homogene Feld eines Kondensators eintritt. Erklären Sie die Bildung dieser Flugkurve."
55,16881,Bestimmen Sie die Geschwindigkeit eines Elektrons in einem Elektronenstrahlrohr für U B = 1000 V.
56,16882,Eine Sonnenfinsternis kann nur bei Neumond auftreten.
57,16883,"Die Entfernung Erde - Mond ist nicht immer gleich. Gründe, warum es manchmal zu einer ringförmigen Sonnenfinsternis kommt."
58,16914,"Geben Sie an, auf welchen der drei markierten Punkte ein Jäger mit seinem Speer zielen müsste, um den Fisch in der Bildmitte zu treffen. Skizzieren Sie den Lichtweg anhand des Beispiels."
59,16915,Schreiben Sie Regeln für die sichere Nutzung von Elektrizität in Ihren eigenen Worten. Dann ordnen Sie die Wichtigkeit der Regeln an.
60,16916,"Auf dem Bild sieht es so aus, als ob die Straßenbahn nur durch eine Leitung mit der Oberleitung oder der Stromquelle verbunden ist. Trotzdem gibt es einen geschlossenen Kreislauf. Finden Sie die fehlende Leitung und erklären Sie die Schaltung."
61,16918,"Man schlägt mit einem Hammer auf einen magnetisierten Eisendraht, der dann kein Magnet mehr ist. Erklären Sie dies anhand des Elementarmagnetmodells."
62,17082,"Es ist gefährlich, mit verschwitzten oder feuchten Händen mit elektrischen Geräten umzugehen."
63,17103,"Es ist nicht das erste Mal, dass die EU-Kommission einen solchen Schritt unternimmt."
64,17137,"Grund, warum es keine Magneten gibt, die nur einen Nordpol, aber keinen Südpol haben."
65,17138,"Ein Objekt wirft zwei Schatten, wenn es mit rotem und grünem Licht beleuchtet wird. Erklären Sie, wie die Farben entstehen."
66,17141,Ist hier nur als Referenzaufgabe mit den Basisdetektoren
67,17142,Man darf keinen Drachen in der Nähe einer Hochspannungsleitung fliegen lassen. Gründe dafür.
68,17143,"Schreiben Sie auf, zu welchem Zweck Magnete in Ihrem Haus verwendet werden."
69,17144,"Erklären Sie, warum dies der Fall ist."
70,17145,"Freileitungen, die Strom von Kraftwerken in die Städte transportieren, sind nicht mit Plastik abgedeckt. Erklären Sie, warum dies nicht notwendig ist."
71,17146,"Verwenden Sie das Farbrad, um festzulegen, welche gemischte Farbe die Addition der folgenden Farbpaare ergibt: blau und grün."
72,17147,"Welche Farbe muss man aus weißem Licht filtern, um Cyan zu erhalten?"
73,17148,"Fügen Sie den folgenden Satz in das Diagramm ein: Je stärker sich die Teilchen bewegen, desto... ist die Temperatur."
74,17149,"Erklären Sie, was der Brown-Bewegung zugrunde liegt."
75,17150,"Man verbraucht jeden Tag elektrische Energie, zum Beispiel beim Haartrocknen mit dem Fön oder bei der Nutzung des Computers. Gründe, warum diese Energie auch ihren Ursprung in der Natur hat."
76,17151,"Nennen Sie die Probleme, die bei der Erzeugung elektrischer Energie auftreten."
77,17152,"Erforschen Sie, wie ein Gaskraftwerk funktioniert und wie effizient ein Gaskraftwerk ist."
78,17153,"Lesen Sie das Material. Geben Sie jedem eine begründete Empfehlung für den Kauf eines neuen Autos. Achtung: Das ist nicht immer klar. Dann können Sie mehrere Autos empfehlen, die passen."
79,17154,Liste Beispiele für schiefe Ebenen auf.
80,17155,"Beurteilen Sie, ob ein Flaschenöffner ein Hebel ist."
81,17156,"Schrauben werden mit einem Schraubenschlüssel gelockert. Ist eine Schraube besonders fest, hilft ein Eisenrohr. Erklären Sie dies."
82,17157,"Christoph sagt: ""Mein neues Auto beschleunigt in 7,5 Sekunden von 0 auf 100"". Erklären Sie mit physikalischer Terminologie, was Christians Aussage bedeutet."
83,17158,Vergleichen Sie die oben erwähnten Beschleunigungen von Formel-1-Rennwagen und Autos auf der Straße.
84,17159,"Ein Aufzug startet nur, wenn sowohl die Tür der Aufzugskabine als auch die Tür zum Aufzugsschacht dicht verschlossen sind. Entscheiden Sie vernünftigerweise, ob es einen UND oder OR-Schaltkreis gibt."
85,17160,Heiße Luft kommt aus einem Haartrockner. Erfahren Sie mehr über die Wirkung des Haartrockners und beschreiben Sie ihn.
86,17161,"Einige Elektrogeräte zeigen mehrere Effekte gleichzeitig. Nehmen wir drei Beispiele. Erklären Sie dann, ob es wünschenswert ist, dass diese Geräte mehrere Effekte gleichzeitig haben."
87,17162,"Lichtschranken bestehen aus einer Lichtquelle und einer lichtempfindlichen elektrischen Komponente (einer so genannten Photodiode), die einen Stromkreis unterbrechen oder schließen kann, sobald Licht auf das Bauteil fällt. So können Tresore geschützt, Uhren gestartet und angehalten und die Motoren von Türen ausgeschaltet werden, wenn eine Person den Lichtweg unterbricht. Rauch scheint auch den Lichtschranken zu aktivieren. Licht verbreitet sich sehr schnell. Bedenken Sie, warum diese Eigenschaft für den Einsatz von Lichtschranken sehr wichtig ist."
88,17164,"Erklären Sie, warum es so aussieht, als sei der Bleistift unter der dicken Glasplatte in drei Teile zerbrochen."
89,17166,Liste der im Text erwähnten fossilen Brennstoffe auf.
90,17167,Beschreiben Sie den Unterschied zwischen einer festen und einer losen Rolle.
91,17168,"Gründe, warum lose Rollen eingesetzt werden, um schwere Lasten zu heben."
92,17169,Nennen Sie das Formelzeichen und die Einheit des elektrischen Widerstandes.
93,17170,"Sie wollen den Widerstand einer Versuchslampe ermitteln und beschreiben, wie Sie vorgehen."
94,17171,"Beschreiben Sie zwei verschiedene Experimente, mit denen der räumliche Faktor eines fremden Planeten mit Hilfe eines 1 kg schweren Stücks Masse bestimmt werden kann."
95,17172,Beschreiben Sie das Schleudern von Objekten mit Hilfe eines Federkatapults aus energetischer Sicht. Skizzieren Sie das zugehörige Energiekontenmodell.
96,17173,Nennen Sie die Eigenschaften einer harmonischen Schwingung.
97,17180,Nennen wir drei verschiedene Arten von Bewegung.
98,17181,Ein Auto fährt mit einer Geschwindigkeit von 108 km / h. Geben Sie seine Geschwindigkeit in m s an.
99,17182,Ein Fußgänger legt 20 Meter in 10 Sekunden zurück. Geben Sie seine Geschwindigkeit in km / h an.
100,17183,"Erklären Sie, wie sich die ""Unsicherheit"" eines klassischen Messergebnisses von der ""Unsicherheit"" der Vorhersagen für Quantenobjekte unterscheidet."
101,17184,Ihre elektrische Taschenlampe ist defekt. Nennen Sie drei mögliche Ursachen.
102,17185,"Auf dem Foto sehen Sie, dass ein mit Wasser gefülltes Weinglas ein Bild erzeugen kann. Erklären Sie seinen Ursprung. Nennen Sie die Eigenschaften des Bildes. Vergleichen Sie es mit einer Sammellinse."
103,17186,"Ein Radfahrer hat eine Geschwindigkeit von 25 km / h. Erfahren Sie, wie lange es dauert, eine Strecke von 120 Metern zurückzulegen."
104,17187,"Wenn eine Kaffeemaschine an die Steckdose angeschlossen wird, fließt ein Strom von 3,5 A durch das Gerät. Berechnen Sie den elektrischen Widerstand."
105,17188,"In einigen Ländern Südamerikas beträgt die Spannung an der Steckdose nur 110 V. Berechnen Sie den Strom, der durch das Heizkabel eines Haartrockners (50 Ω) fließt."
106,17189,Vergleichen Sie die Größe und Masse der Sonne mit der Erde.
107,17193,"Leila macht einen Trick: Sie legt eine 5-Cent-Münze und eine 10-Cent-Münze auf den Tisch. Dann bewegt sie etwas im Kreis unter dem Tisch. Solange die Bewegung anhält, bewegt sich die 5-Cent-Münze ebenfalls im Kreis, aber die 10-Cent-Münze bleibt dort. Erklären Sie es uns."
108,17196,"Die magnetische Flussdichte B einiger handelsüblicher Neodym-Magnete beträgt etwa 0,1 T. Schätzen Sie, ob diese Flussdichte mit dem empfindlichsten konventionellen Kraftmesser (Auflösung: 0,1 m N) gemessen werden kann. Erläutern Sie Ihre Entscheidung."
109,17197,"Eine Person mit einer Masse von m = 80 k g springt aus einer Höhe von 1,20 m auf ein Trampolin (D = 6000 N / m). Berechnen Sie, wie weit sich das Trampolin erstreckt."
110,17199,Ein Bagger sollte auf einen Tieflader geladen werden. Entwickeln Sie eine praktikable Lösung und präsentieren Sie sie.
111,17200,Nennen Sie Beispiele für den Einsatz von Zahnrädern.
112,17201,"Beschreiben Sie, was Jens falsch gemacht hat."
113,17202,"Janina fährt auf eine Kreuzung zu. Wenn ein Auto von rechts kommt, muss sie ihm die Vorfahrt geben. Sie sieht ein Auto ein Jahr vorher und dann hat sie noch 5 m bis zur Mitte der Kreuzung. Sie fährt mit 20 km / h über die Kreuzung. Sie sagt: ""Ich kann noch rechtzeitig bremsen"". Beurteilen Sie ihren Fahrstil."
114,17203,"Erforschen Sie, wie die Geschwindigkeitsmessung mit einer Laserpistole funktioniert."
115,17204,"Ein Auto hat eine Geschwindigkeit von 50 km / h. Finden Sie heraus, welche Strecke das Auto in einer Sekunde zurücklegt."
116,17206,"Richten Sie die folgende Aussage und korrigieren Sie sie: ""Magnete ziehen metallische Objekte an""."
117,17207,"Beschreiben und erklären Sie, wie man einen Amperemeter anschließt."
118,17208,"Elektrische Geräte haben in der Regel nur ein Kabel, das sie mit der elektrischen Quelle verbindet. Erklären Sie, warum es trotzdem ein geschlossener Kreislauf ist."
119,17209,"Leitungswasser leitet Elektrizität. Destilliertes Wasser leitet Elektrizität sehr schlecht. Nehmen wir eine Hypothese an, was destilliertes Wasser ist."
120,17210,Im Haushalt werden alle Elektrogeräte parallel geschaltet.
121,17212,"In der Waschmaschine und der Mikrowelle befinden sich eingebaute AND-Schaltkreise. Geben Sie an, wo sich die Schalter befinden. Nennen Sie andere Elektrogeräte im Haushalt, die einen AND-Schaltkreis haben."
122,17213,"Nennen Sie drei Geräte, die unterschiedliche Effekte des elektrischen Stroms nutzen."
123,17218,"Planen und beschreiben Sie ein Experiment, mit dem Sie beweisen können, dass Elektromagnete Pole haben."
124,17223,Eine Mondfinsternis kann nur bei Vollmond stattfinden.
125,17224,"Während einer totalen Mondfinsternis kann man anstelle eines völlig abgedunkelten Mondes einen tiefroten Mond, auch Blutmond genannt, beobachten und den Ursprung seiner Farbe erforschen."
126,17247,"Gründe, warum eine Treppe auch eine schiefe Ebene ist."
127,17268,"In diesen Texten gibt es drei verschiedene Begriffe: Wärme, Temperatur und thermische Energie. Erklären Sie (anhand des Teilchenmodells) die Unterschiede zwischen diesen Begriffen."
128,17304,Ein eisernes Objekt wird sowohl vom Nord- als auch vom Südpol eines Magneten angezogen. Erklären Sie dies anhand der Vorstellung von Elementarmagneten.
